,precision,recall,f1-score,support
0,0.5583445104426136,0.8735011990407674,0.6812390414962011,3336.0
1,0.7602268820900653,0.8186192855820841,0.7883432849122182,5403.0
2,0.8726596563221338,0.6740293185419969,0.7605901419470213,10096.0
accuracy,0.7508362091850279,0.7508362091850279,0.7508362091850279,0.7508362091850279
macro avg,0.7304103496182709,0.7887166010549495,0.7433908227851469,18835.0
weighted avg,0.7847366615873345,0.7508362091850279,0.7544969622463058,18835.0
