epoch,val_accuracy,val_loss,tp,fn,fp,tn,precision,recall,f1
1,0.5441465377807617,0.9779495596885681,3416.3333333333335,2862.0,2862.0,9694.666666666666,0.6504344626986436,0.3490900918825986,0.2691723038145183
2,0.6561720371246338,0.7386432886123657,4119.666666666667,2158.6666666666665,2158.6666666666665,10398.0,0.6294452842666288,0.6349756583392167,0.631592919103419
3,0.6599416136741638,0.7772437334060669,4143.333333333333,2135.0,2135.0,10421.666666666666,0.6352936124086302,0.6314627642254662,0.6285666498011132
4,0.6759225130081177,0.7728778719902039,4243.666666666667,2034.6666666666667,2034.6666666666667,10522.0,0.6512695844594006,0.6374691575030035,0.6435133961898227
5,0.6759225130081177,0.7573034763336182,4243.666666666667,2034.6666666666667,2034.6666666666667,10522.0,0.646300870901998,0.6526094154801173,0.649183253585751
6,0.6814972162246704,0.8267574906349182,4278.666666666667,1999.6666666666667,1999.6666666666667,10557.0,0.6611666308963987,0.627373226437439,0.64090568149116
7,0.6729493141174316,0.72716224193573,4225.0,2053.3333333333335,2053.3333333333335,10503.333333333334,0.6532287953951128,0.6046727759011219,0.6209489411882383
8,0.6891956329345703,0.8172544836997986,4327.0,1951.3333333333333,1951.3333333333333,10605.333333333334,0.6630286342510994,0.6700012336538075,0.6663357969805138
9,0.6934430599212646,0.7137923240661621,4353.666666666667,1924.6666666666667,1924.6666666666667,10632.0,0.6736517514727568,0.6495591803628032,0.6595868058054682
10,0.6610565185546875,0.7691227197647095,4150.333333333333,2128.0,2128.0,10428.666666666666,0.6369461221493143,0.6413740315376582,0.6327226006931189
11,0.6893018484115601,0.6932802796363831,4327.666666666667,1950.6666666666667,1950.6666666666667,10606.0,0.6678829576556001,0.6535305847580947,0.6588911699279965
12,0.6693390011787415,0.7521650791168213,4202.333333333333,2076.0,2076.0,10480.666666666666,0.6525570110144719,0.6992283802132436,0.659413713346658
13,0.6783647537231445,0.7205566763877869,4259.0,2019.3333333333333,2019.3333333333333,10537.333333333334,0.6721707249351687,0.6102069261540412,0.6297004574156663
14,0.5555614829063416,1.0698959827423096,3488.0,2790.3333333333335,2790.3333333333335,9766.333333333334,0.5696690457277928,0.41374425087470107,0.36397864909956157
15,0.696894109249115,0.6884152889251709,4375.333333333333,1903.0,1903.0,10653.666666666666,0.6730640771784754,0.6640928702405194,0.6682104666453926
16,0.5607114434242249,1.0624544620513916,3520.3333333333335,2758.0,2758.0,9798.666666666666,0.3717543064908109,0.433386017018398,0.3826704993393415
17,0.696894109249115,0.7016770839691162,4375.333333333333,1903.0,1903.0,10653.666666666666,0.6738997285454603,0.670361825515332,0.6703247388450012
18,0.6913724541664124,0.7048956751823425,4340.666666666667,1937.6666666666667,1937.6666666666667,10619.0,0.6704826616773477,0.6460450545155153,0.6565341647918069
19,0.6922750473022461,0.690300703048706,4346.333333333333,1932.0,1932.0,10624.666666666666,0.6759809243965199,0.644970872789331,0.6570346380042459
20,0.7001858353614807,0.6815023422241211,4396.0,1882.3333333333333,1882.3333333333333,10674.333333333334,0.6767090851502798,0.677235786032548,0.6751749914478768
21,0.5586408376693726,1.0330311059951782,3507.3333333333335,2771.0,2771.0,9785.666666666666,0.36301991213949797,0.4395246876983358,0.38579462234923456
22,0.6870719194412231,0.6879041194915771,4313.666666666667,1964.6666666666667,1964.6666666666667,10592.0,0.6613210646962141,0.7003076889456509,0.6742061336353391
23,0.6970533728599548,0.6842027902603149,4376.333333333333,1902.0,1902.0,10654.666666666666,0.6749298168017265,0.6647270825764665,0.6693569760981138
24,0.5359702706336975,1.1058229207992554,3365.0,2913.3333333333335,2913.3333333333335,9643.333333333334,0.3159490600363857,0.3337686427719948,0.2339896072671824
25,0.6267055869102478,0.7974733710289001,3934.6666666666665,2343.6666666666665,2343.6666666666665,10213.0,0.6452048618180982,0.552279813582467,0.5579548799010184
26,0.700663685798645,0.6790677905082703,4399.0,1879.3333333333333,1879.3333333333333,10677.333333333334,0.6766329808927024,0.6811267024573597,0.6770554345945291
27,0.6979559063911438,0.6884844899177551,4382.0,1896.3333333333333,1896.3333333333333,10660.333333333334,0.6729655813195681,0.6710997319401049,0.6718553345858749
28,0.6990708708763123,0.6826503276824951,4389.0,1889.3333333333333,1889.3333333333333,10667.333333333334,0.6769876495629282,0.6608017083421954,0.6681315728301708
29,0.7001327276229858,0.679040253162384,4395.666666666667,1882.6666666666667,1882.6666666666667,10674.0,0.6774032164154971,0.6739339045618467,0.6739582705528554
30,0.6983276009559631,0.6746287941932678,4384.333333333333,1894.0,1894.0,10662.666666666666,0.6777141873191859,0.6572044876525842,0.6662559233669905
31,0.7013007402420044,0.6765958666801453,4403.0,1875.3333333333333,1875.3333333333333,10681.333333333334,0.6819904722667317,0.6601706434375744,0.6690940634628593
32,0.7025219202041626,0.673187255859375,4410.666666666667,1867.6666666666667,1867.6666666666667,10689.0,0.6772571172679518,0.6844239891724606,0.6801952805678532
33,0.7001327276229858,0.6783324480056763,4395.666666666667,1882.6666666666667,1882.6666666666667,10674.0,0.6751829799990775,0.6876879831649112,0.6792186797019273
34,0.7051234245300293,0.6761621236801147,4427.0,1851.3333333333333,1851.3333333333333,10705.333333333334,0.6811372702054156,0.6871690425887796,0.6824048784753175
35,0.6971064209938049,0.7289899587631226,4376.666666666667,1901.6666666666667,1901.6666666666667,10655.0,0.6732897846466542,0.672406282057758,0.6725783183741473
36,0.7043801546096802,0.6970353722572327,4422.333333333333,1856.0,1856.0,10700.666666666666,0.6816205165990947,0.6780474935540145,0.67882614428529
37,0.7015131115913391,0.6940508484840393,4404.333333333333,1874.0,1874.0,10682.666666666666,0.6757572771012502,0.6836151296556255,0.6789737152019623
38,0.7024688124656677,0.6785168051719666,4410.333333333333,1868.0,1868.0,10688.666666666666,0.6782847496675447,0.6805008449658656,0.6789200568990377
39,0.6941332817077637,0.6893107295036316,4358.0,1920.3333333333333,1920.3333333333333,10636.333333333334,0.6742105530636441,0.6649265148228679,0.6674976768399384
40,0.7026280760765076,0.6852517127990723,4411.333333333333,1867.0,1867.0,10689.666666666666,0.6778597862458456,0.6873473863331091,0.6809322258920956
41,0.7018848061561584,0.6695603132247925,4406.666666666667,1871.6666666666667,1871.6666666666667,10685.0,0.6776650625958274,0.6820201185164391,0.6784377685662816
42,0.7043801546096802,0.6682018637657166,4422.333333333333,1856.0,1856.0,10700.666666666666,0.682739925725242,0.6694457944539441,0.6753556261977461
43,0.7048048973083496,0.6700057983398438,4425.0,1853.3333333333333,1853.3333333333333,10703.333333333334,0.6810504084219963,0.6826510481053408,0.6808890872122236
44,0.7041677832603455,0.6683925986289978,4421.0,1857.3333333333333,1857.3333333333333,10699.333333333334,0.6808989522131603,0.6809164795077054,0.6795311133762668
45,0.7052827477455139,0.6681486368179321,4428.0,1850.3333333333333,1850.3333333333333,10706.333333333334,0.6822248742803452,0.6790867122568837,0.6796982852614991
46,0.703052818775177,0.6763983368873596,4414.0,1864.3333333333333,1864.3333333333333,10692.333333333334,0.6793031587663801,0.6787230739452572,0.6786185575274523
47,0.7034244537353516,0.6735641956329346,4416.333333333333,1862.0,1862.0,10694.666666666666,0.6803180592381995,0.6741277737407444,0.6770200461169771
48,0.7041146755218506,0.6706239581108093,4420.666666666667,1857.6666666666667,1857.6666666666667,10699.0,0.682374508555127,0.6767831754812073,0.678540977809864
49,0.7058136463165283,0.6669913530349731,4431.333333333333,1847.0,1847.0,10709.666666666666,0.6843908883103512,0.673338254919919,0.6780794084919943
50,0.7046456336975098,0.6709807515144348,4424.0,1854.3333333333333,1854.3333333333333,10702.333333333334,0.6817709217410903,0.6799521376131415,0.6798140889027134
